Simulation_ID,OFV,OFV_REF,NSE,snw_dth,snw_dth_ref,snw_att,snw_att_ref,snw_pmf,snw_pmf_ref,snw_amf,snw_amf_ref,sl0_dth,sl0_dth_ref,sl0_pwp,sl0_pwp_ref,sl0_fcy,sl0_fcy_ref,sl0_bt0,sl0_bt0_ref,urr_dth,urr_dth_ref,lrr_dth,lrr_dth_ref,urr_wsr,urr_wsr_ref,urr_ulc,urr_ulc_ref,urr_tdh,urr_tdh_ref,urr_tdr,urr_tdr_ref,urr_ndr,urr_ndr_ref,urr_uct,urr_uct_ref,lrr_dre,lrr_dre_ref,lrr_lct,lrr_lct_ref
292,0.1086027550525861,0.10969128728981659,0.8912672949159736,0.0,0.0,-0.006046505641547517,-0.005571,0.4974469265367758,0.521145,0.047096439394441525,0.046251,85.00977206389184,99.167578,305.2109258069996,576.30908,149.49439076589275,164.676837,2.528361952724168,2.953878,2.032061112241804,2.363494,0.49879351634254476,0.304237,0.9843408191040759,0.996199,0.18084544134111158,0.176932,172.56627875182502,30.970124,0.3050541687891759,0.182238,1.5029106726349717e-05,3e-06,0.00012067103623608633,3.8e-05,0.00889275012883367,0.009186,3.325793190289694e-07,0.0
293,0.11032073581622392,0.11111414587573787,0.8893902664377937,0.0,0.0,-0.00660414124142128,-0.005571,0.49060738519692526,0.521145,0.05212144606930824,0.046251,95.66511832401025,99.167578,582.7350894550892,576.30908,161.95208599971087,164.676837,2.7326927497664295,2.953878,2.3405719764182837,2.363494,0.546539216000518,0.304237,0.9805168685543472,0.996199,0.18330658078851703,0.176932,99.42314644839375,30.970124,0.8398178564850667,0.182238,5.888043161500489e-05,3e-06,1.6511108619388093e-05,3.8e-05,0.00884999796529512,0.009186,2.8897211018508173e-07,0.0
294,0.10815110490038982,0.10857192742505783,0.8915664357705237,0.0,0.0,-0.0060668552354454786,-0.005571,0.47259654739297496,0.521145,0.052807438835277054,0.046251,95.63094987765344,99.167578,491.84038083072744,576.30908,161.4085748450711,164.676837,2.8027636677065075,2.953878,1.563203716058755,2.363494,0.849576382728408,0.304237,0.9897870041946298,0.996199,0.18563810348234766,0.176932,61.94322372720852,30.970124,0.5380854978193371,0.182238,2.7127656210212958e-05,3e-06,3.390469326830514e-05,3.8e-05,0.008973652463949822,0.009186,8.521805965888696e-07,0.0
295,0.10912973694516026,0.10958509000339933,0.8906945733123232,0.0,0.0,-0.007174490731401084,-0.005571,0.495124839127316,0.521145,0.05219577479667148,0.046251,98.2921058370195,99.167578,582.5454718918036,576.30908,164.26645793639307,164.676837,2.8412170722282424,2.953878,0.9732429213283051,2.363494,1.7114269056629254,0.304237,0.9998496786352132,0.996199,0.17629605545794602,0.176932,156.95848702891425,30.970124,0.6780818308618861,0.182238,1.2204329219500654e-05,3e-06,3.322940173083877e-05,3.8e-05,0.008994803972188048,0.009186,7.722962730993821e-07,0.0
296,0.10993483167803031,0.11035285461625799,0.8899483677129976,0.0,0.0,-0.006491619993595377,-0.005571,0.49379140900535234,0.521145,0.05107983266653093,0.046251,95.49359038698574,99.167578,559.5437711107613,576.30908,161.05709015069436,164.676837,2.821840571512654,2.953878,1.2498541266024343,2.363494,1.0844477674785225,0.304237,0.9909357845296314,0.996199,0.18761053099654573,0.176932,72.30991069367823,30.970124,0.3734650957535227,0.182238,5.265328516695922e-05,3e-06,1.4536352365646099e-05,3.8e-05,0.008928495810881454,0.009186,7.407197334385884e-07,0.0
297,0.11332992045084145,0.1138356163164197,0.886457192057343,0.0,0.0,-0.0062801448126186266,-0.005571,0.4824168933894919,0.521145,0.05253057635673386,0.046251,98.8883916254849,99.167578,643.7185836374072,576.30908,165.76826923450685,164.676837,2.821570426080853,2.953878,0.5704048857220396,2.363494,1.8316297622484825,0.304237,0.9871241447782807,0.996199,0.1768293527011245,0.176932,156.94196074910147,30.970124,0.4223046001380535,0.182238,4.6792959929042865e-07,3e-06,7.663665550827758e-06,3.8e-05,0.009015886134432383,0.009186,2.2244532814075235e-06,0.0
298,0.11227391197399705,0.11284845562703971,0.8874887678143021,0.0,0.0,-0.005909468177717092,-0.005571,0.4908612537903223,0.521145,0.05314521420284013,0.046251,97.08487673607851,99.167578,645.9273649134186,576.30908,163.85797378685456,164.676837,2.806409353323302,2.953878,1.8488528104007447,2.363494,1.0236243404727574,0.304237,0.986879877645196,0.996199,0.18620758022006545,0.176932,123.34320564867973,30.970124,0.7710642250252964,0.182238,4.275181896484792e-05,3e-06,4.467748123454518e-05,3.8e-05,0.008926986759352995,0.009186,1.8862152043053193e-06,0.0
299,0.10754772141470748,0.10925097061734745,0.8923353609768695,0.0,0.0,-0.007198947998298566,-0.005571,0.4229273366734363,0.521145,0.018124906826402665,0.046251,52.820165567845315,99.167578,200.2745127409732,576.30908,113.63053992194972,164.676837,1.791387334377728,2.953878,1.1804324094665013,2.363494,1.384707291009505,0.304237,0.9961750035447952,0.996199,0.13788998820759618,0.176932,154.86495920856908,30.970124,0.6376710325084922,0.182238,2.847587275589536e-06,3e-06,0.007620779729676619,3.8e-05,0.01098364874063007,0.009186,8.892406240512685e-05,0.0
300,0.11816080891764846,0.1186214043929471,0.8817441751397465,0.0,0.0,-0.005723850292702504,-0.005571,0.4748411698285999,0.521145,0.055371814506389505,0.046251,97.63910871760869,99.167578,697.920888406354,576.30908,163.05039686204714,164.676837,2.8235573476494573,2.953878,1.0547277040563312,2.363494,1.5384456403128226,0.304237,0.9952261487310708,0.996199,0.18483135492395975,0.176932,112.66511169004593,30.970124,0.7538818242614693,0.182238,4.7967238713586546e-05,3e-06,9.614535425839232e-05,3.8e-05,0.009050382643829291,0.009186,5.5588770198067294e-08,0.0
301,0.106836422336268,0.10786540108271436,0.8930875675342457,0.0,0.0,-0.005671271724220106,-0.005571,0.5071389335322259,0.521145,0.05130445597415623,0.046251,96.48893455185781,99.167578,642.3671577765706,576.30908,163.36697095716366,164.676837,2.761828159870315,2.953878,0.7262704688380524,2.363494,1.5543704561814096,0.304237,0.9795218808504922,0.996199,0.19521827573622458,0.176932,91.6405430355084,30.970124,0.5968215987738228,0.182238,5.094733598509649e-05,3e-06,7.326953777919698e-06,3.8e-05,0.008771077049240461,0.009186,1.0753188790513235e-06,0.0
302,0.11002602475860468,0.11084178184000182,0.8898649667415967,0.0,0.0,-0.006133311440481126,-0.005571,0.463946513553529,0.521145,0.05554666348070203,0.046251,94.56442840646937,99.167578,519.531120115539,576.30908,159.3597104564385,164.676837,2.767504489868065,2.953878,1.669402636127927,2.363494,1.0339811754497248,0.304237,0.9844230635866066,0.996199,0.18454818555279506,0.176932,94.46794833812713,30.970124,0.5025096535327473,0.182238,3.0297610507212802e-05,3e-06,9.534966325247529e-05,3.8e-05,0.008928746058461001,0.009186,1.431423892583883e-06,0.0
303,0.10872111885444324,0.11489380271252636,0.8910941984969089,0.0,0.0,-0.006984491880653421,-0.005571,0.4217075550182763,0.521145,0.0167469299173737,0.046251,74.47756669640805,99.167578,625.4288218250958,576.30908,135.54485967283665,164.676837,2.339159762819487,2.953878,0.6225205465938508,2.363494,1.6824241090922527,0.304237,0.9997439012811925,0.996199,0.13449091553914055,0.176932,145.75739570543294,30.970124,0.9031219868778833,0.182238,1.0920850057605236e-08,3e-06,0.009534524677591527,3.8e-05,0.011029074150786855,0.009186,6.3193007424078296e-06,0.0
304,0.10986493481192772,0.11433594748246234,0.8901141387946546,0.0,0.0,-0.006178515086961878,-0.005571,0.40970681404290366,0.521145,0.018162111937014558,0.046251,65.19158729234157,99.167578,501.38516881843645,576.30908,122.07561019879478,164.676837,2.2830320759413936,2.953878,1.496336786444484,2.363494,0.8625358440928181,0.304237,0.9918039257785668,0.996199,0.13086382888377146,0.176932,38.42139378548286,30.970124,0.5574676673039626,0.182238,2.7029459373939524e-05,3e-06,0.011626907050420077,3.8e-05,0.011246046438508961,0.009186,5.0277443747526185e-05,0.0
305,0.1113081760066319,0.1123949168812417,0.8882821982003336,0.0,0.0,-0.005990599986794187,-0.005571,0.4682196814132942,0.521145,0.05863738854617839,0.046251,91.63831796709049,99.167578,637.945874679539,576.30908,157.48803287863822,164.676837,2.652211613369423,2.953878,0.7064555640579364,2.363494,1.9509379916428031,0.304237,0.9994105302786442,0.996199,0.17150429463406114,0.176932,126.74451957302422,30.970124,0.68822596378838,0.182238,2.236570025188067e-05,3e-06,9.995981767479956e-05,3.8e-05,0.008856647138108298,0.009186,3.2220822440143237e-06,0.0
306,0.11061090579366317,0.1107925363183544,0.8892698224374288,0.0,0.0,-0.0060039795282106345,-0.005571,0.4756670688974194,0.521145,0.057648825189481556,0.046251,89.49396588634033,99.167578,582.0454254826187,576.30908,156.51848485605183,164.676837,2.5627658059558547,2.953878,1.2587430639350679,2.363494,1.2937779528981252,0.304237,0.9971568506137001,0.996199,0.18064566424389905,0.176932,191.67913449088888,30.970124,0.1270036444843356,0.182238,1.3663964617938174e-05,3e-06,1.4176454834979868e-05,3.8e-05,0.00921865508396752,0.009186,2.449733468412596e-06,0.0
307,0.10728599593894117,0.10762250783745497,0.8926700164053747,0.0,0.0,-0.005909833502646622,-0.005571,0.47880016501548606,0.521145,0.057571963925137304,0.046251,98.04448908804154,99.167578,607.6877891462176,576.30908,163.82193931021172,164.676837,2.8371557037919946,2.953878,2.4422636475083053,2.363494,0.2410248094924583,0.304237,0.988911222202566,0.996199,0.1847928245863067,0.176932,90.51541716500259,30.970124,0.4565480131396394,0.182238,2.2459106847061427e-05,3e-06,1.7602826128226834e-05,3.8e-05,0.00900671842665407,0.009186,1.0758707389424416e-06,0.0
308,0.11240140758182193,0.11262096198011184,0.8871194922832039,0.0,0.0,-0.0063846838243115656,-0.005571,0.4891540574840336,0.521145,0.05604476628921429,0.046251,98.60827619078046,99.167578,630.7123179602991,576.30908,164.56893886152096,164.676837,2.9493194457881047,2.953878,2.7253276844473895,2.363494,0.2200830368091644,0.304237,0.9930919553223857,0.996199,0.17383742962180082,0.176932,93.68406821347912,30.970124,0.814318439402844,0.182238,1.1784911462531245e-05,3e-06,8.228870241078212e-05,3.8e-05,0.009022275597408036,0.009186,7.433700857484293e-06,0.0
309,0.10724214014578759,0.11385374716741614,0.8926563807823457,0.0,0.0,-0.007480386948774842,-0.005571,0.4030529712888309,0.521145,0.01872616740973676,0.046251,74.4445733638746,99.167578,631.4099590315632,576.30908,130.1870117211535,164.676837,2.544372280922739,2.953878,0.7451495676180411,2.363494,1.427287345328132,0.304237,0.9871890846724343,0.996199,0.12783102171606192,0.176932,147.1011229108463,30.970124,0.7663456863790121,0.182238,6.967098354349055e-06,3e-06,0.009092502041118056,3.8e-05,0.01087600704027053,0.009186,0.00026633959085631265,0.0
310,0.11006361131277109,0.11471319049857187,0.8897769271523982,0.0,0.0,-0.006352769853066764,-0.005571,0.4215596015277425,0.521145,0.017350266722790053,0.046251,91.0002749347195,99.167578,314.0455473328622,576.30908,150.72074604074766,164.676837,2.743226883466806,2.953878,1.4723276688508573,2.363494,0.8720748697066156,0.304237,0.9780916333004068,0.996199,0.1300565261809305,0.176932,123.50240491696866,30.970124,0.4345738093657691,0.182238,2.7230967206248735e-05,3e-06,0.008297482326103278,3.8e-05,0.011500442908641495,0.009186,3.4700461754022527e-07,0.0
311,0.10590039414215724,0.10657236210372922,0.8939188704755053,0.0,0.0,-0.005605464089949885,-0.005571,0.47521373262227096,0.521145,0.05334460000954966,0.046251,99.73047337696654,99.167578,491.0882086028249,576.30908,165.2448161617753,164.676837,2.765368698868808,2.953878,1.6298617205027295,2.363494,0.975182073314592,0.304237,0.9991939247892405,0.996199,0.1908539862519738,0.176932,128.09598328664237,30.970124,0.41160317280983394,0.182238,1.9041046091849978e-05,3e-06,1.4587406875876674e-05,3.8e-05,0.008977935028045947,0.009186,3.926573738988193e-06,0.0
312,0.10765061348260851,0.1084711153054867,0.8920996029283584,0.0,0.0,-0.006187653064661625,-0.005571,0.5102193676835477,0.521145,0.04764466017825786,0.046251,97.34438377301609,99.167578,605.1768592379899,576.30908,164.17796745354386,164.676837,2.7498810047550877,2.953878,0.970710152898226,2.363494,1.5926408130596528,0.304237,0.9956425951340436,0.996199,0.18229099869570586,0.176932,47.469035761320356,30.970124,0.047858494137323626,0.182238,5.226717760209443e-06,3e-06,3.1209883535832095e-05,3.8e-05,0.008952025566872746,0.009186,2.207343386906313e-06,0.0
